ds,yhat,yhat_lower,yhat_upper
2023-11-28,6748.102413629313,6482.329100050396,7024.251686491536
2023-11-29,6710.9512705516,6444.197427240128,6953.829316036241
2023-11-30,6762.016468411514,6504.5700233458065,7027.3996524246295
2023-12-01,6709.409291590491,6456.689658039406,6947.5762625319
2023-12-02,6723.166167637309,6452.428331345356,6980.18404595848
2023-12-03,6725.405624837611,6448.349704281966,6987.833703459138
2023-12-04,6745.906052846285,6495.246935965975,7025.298034461767
2023-12-05,6702.355102141814,6426.817524706578,6968.394427999147
2023-12-06,6662.816432505333,6407.530545076264,6917.020911866989
2023-12-07,6711.850050512659,6452.440148954925,6994.369316885203
2023-12-08,6658.733476853381,6374.8166627193,6920.1134396811485
2023-12-09,6671.103973478519,6408.223246516212,6931.974541393301
2023-12-10,6673.376400889641,6432.338601875722,6943.313372612124
2023-12-11,6697.046934562568,6449.43458284768,6971.815710658961
2023-12-12,6651.6609728568055,6391.447940291944,6917.59394850346
2023-12-13,6616.999321147305,6352.76634128926,6872.139810434157
2023-12-14,6672.320788766089,6408.7372343220895,6950.543613193241
2023-12-15,6626.392333714461,6357.379780658458,6890.639249496061
2023-12-16,6642.53440591459,6372.498731859484,6892.443515076428
2023-12-17,6641.104455888964,6394.076259623049,6900.986079954147
2023-12-18,6667.181440266514,6393.893606646449,6928.3029097496365
2023-12-19,6630.292324232735,6368.065885725096,6886.8340498281395
2023-12-20,6600.199002349686,6349.188801721818,6857.0852565860205
2023-12-21,6651.749170845587,6397.681442434978,6911.849030298257
2023-12-22,6608.562249912463,6348.779639890889,6878.36071623235
2023-12-23,6626.694848779081,6362.705484060797,6892.452697269084
2023-12-24,6633.320275719562,6366.444732078831,6908.407846907215
2023-12-25,6661.226356035881,6385.629988399197,6912.346052052488
2023-12-26,6620.7728814080765,6352.208935818591,6883.243361826226
2023-12-27,6589.576227420183,6339.513523239345,6863.573754866831
2023-12-28,6644.945276332916,6388.776982874,6906.419475771226
2023-12-29,6598.530553852266,6337.018249924693,6853.232829876404
2023-12-30,6616.624175254785,6355.049082559486,6879.044648491203
2023-12-31,6624.4444672160025,6370.114172222353,6894.99501253455
2024-01-01,6655.94594924859,6402.709028851707,6922.122027588802
2024-01-02,6616.52754174823,6354.086991671755,6877.918526187451
2024-01-03,6584.028631789459,6325.638400839676,6853.281512680839
2024-01-04,6642.6917164744145,6384.775023222966,6913.205889401137
2024-01-05,6591.291266058884,6333.971808717647,6844.043900786119
2024-01-06,6613.5087383419905,6336.489320202923,6863.640315153197
2024-01-07,6623.452510105,6358.794854723461,6868.354160432092
2024-01-08,6650.963822752423,6388.200100194393,6915.174773356739
2024-01-09,6612.423376801326,6360.141703391355,6883.895420091687
2024-01-10,6580.952737219088,6322.495438049626,6810.02077538531
2024-01-11,6636.292883850701,6377.979265220197,6888.478465098743
